bus_id,latitude,longitude,speed,captured_at
901008,-23.006568,-43.312953,0,2025-02-20T18:38:01.026379
901011,-23.003953,-43.322595,0,2025-02-20T18:38:01.026379
901018,-22.973128,-43.399108,50,2025-02-20T18:38:01.026379
901012,-23.00014,-43.362166,42.5,2025-02-20T18:38:01.026379
901014,-23.006531,-43.3153,43,2025-02-20T18:38:01.026379
901007,-22.963956,-43.394484,27.9,2025-02-20T18:38:01.026379
901009,-22.922605,-43.372716,0,2025-02-20T18:38:01.026379
901013,-23.000168,-43.343891,41.4,2025-02-20T18:38:01.026379
901010,-22.973282,-43.382919,0,2025-02-20T18:38:01.026379
901015,-22.997518,-43.366398,57.2,2025-02-20T18:38:01.026379
901047,-22.864936,-43.406638,53,2025-02-20T18:38:01.026379
901017,-22.886959,-43.400763,0,2025-02-20T18:38:01.026379
901063,-23.00866,-43.440402,0,2025-02-20T18:38:01.026379
902319,-22.853929,-43.384437,16.2,2025-02-20T18:38:01.026379
901006,-23.000696,-43.36536,0,2025-02-20T18:38:01.026379
901005,-22.898946,-43.397729,53.3,2025-02-20T18:38:01.026379
901004,-22.972335,-43.400436,13.1,2025-02-20T18:38:01.026379
902095,-22.876905,-43.32975,0,2025-02-20T18:38:01.026379
902375,-23.008695,-43.44049,0,2025-02-20T18:38:01.026379
13409,-22.915786,-43.628365,0,2025-02-20T18:38:01.026379
KXM6403 SAVEIRO,-23.000806,-43.363524,0,2025-02-20T18:38:01.026379
902090,-22.877513,-43.336946,0,2025-02-20T18:38:01.026379
KRA7040 - GOL,-22.956928,-43.390555,0,2025-02-20T18:38:01.026379
902334,-22.82328,-43.329359,51.9,2025-02-20T18:38:01.026379
LSG7008 ACELLO INFRA,-22.964554,-43.391436,0,2025-02-20T18:38:01.026379
KXE9191 PKP,-22.971448,-43.400605,0,2025-02-20T18:38:01.026379
901057,-23.001115,-43.365343,2.4,2025-02-20T18:38:01.026379
901003,-23.000686,-43.365586,11.7,2025-02-20T18:38:01.026379
902455,-22.842533,-43.272375,1.2,2025-02-20T18:38:01.026379
KWB9798 - APOIO VAN,-23.000835,-43.364992,0,2025-02-20T18:38:01.026379
901002,-22.89831,-43.397904,57.3,2025-02-20T18:38:01.026379
902313,-22.819462,-43.310388,56.6,2025-02-20T18:38:01.026379
902103,-22.960381,-43.390658,24.7,2025-02-20T18:38:01.026379
901001,-23.002872,-43.32488,0,2025-02-20T18:38:01.026379
901050,-22.970837,-43.388738,0,2025-02-20T18:38:01.026379
901077,-23.0014,-43.366788,0,2025-02-20T18:38:01.026379
903045,-22.919337,-43.608015,0,2025-02-20T18:38:01.026379
902119,-22.876123,-43.339044,14.6,2025-02-20T18:38:01.026379
901058,-23.008456,-43.439827,0,2025-02-20T18:38:01.026379
902105,-22.982721,-43.410841,50.8,2025-02-20T18:38:01.026379
901071,-23.001009,-43.368437,0,2025-02-20T18:38:01.026379
